date,institution,product,term_days,rate_annual,balance_cap_mxn,rate_on_excess,conditions,source_url,accessed,verified
2026-07-24,CETES (via GBM or Cetesdirecto),CETES 364d,364,0.0693,,,,https://expansion.mx/finanzas-personales/2026/07/24/nu-klar-mercado-pago-cetes-cual-da-mas-rendimiento,2026-09-24,yes
2026-08-16,Mercado Pago,On demand,0,0.12,25000,,,https://www.tasas.mx/institucion/mercadopago,2026-09-24,yes
2026-09-01,Mercado Pago,Apartados with Meli+,0,0.15,25000,,Paid Meli+ subscription; 12% without it,https://www.tasas.mx/institucion/mercadopago,2026-09-24,yes
2026-08-29,Revolut,Savings (on demand),0,0.15,25000,0.07,"4 purchases of at least 50 MXN every 30 days, or Premium/Metal plan; excess earns 7-7.5%",https://www.tasas.mx/institucion/revolut,2026-09-24,yes
2026-08-12,Banco Plata,Ahorro Ultra (new accounts),0,0.15,25000,0.07,First 60 days only,https://www.jornada.com.mx/noticia/2026/08/12/economia/plata-entra-a-las-cuentas-de-ahorro-ofrecera-rendimientos-de-hasta-15,2026-09-24,yes
2026-08-12,Banco Plata,Ahorro Flexible (Plata+),0,0.1,,,Plata+ membership,https://www.rendimientosmexico.com/instrumentos/plata,2026-09-24,secondary
2025-10-04,Klar,Inversión Max (Plus/Platino),0,0.15,25000,,New product this month,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en OCTUBRE 2025?, 2025-10-04, https://www.youtube.com/watch?v=7jNCqK43Fkc",2026-09-24,video (auto-captions)
2025-10-04,Openbank,Apartados Open,0,0.1,,,No cap,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en OCTUBRE 2025?, 2025-10-04, https://www.youtube.com/watch?v=7jNCqK43Fkc",2026-09-24,video (auto-captions)
2025-11-04,DiDi,On demand,0,0.16,10000,,,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en NOVIEMBRE 2025?, 2025-11-04, https://www.youtube.com/watch?v=FYmxm2lTYvQ",2026-09-24,video (auto-captions)
2025-11-04,Klar,Inversión Max (Plus/Platino),0,0.15,25000,,"Spend 3,000 monthly","Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en NOVIEMBRE 2025?, 2025-11-04, https://www.youtube.com/watch?v=FYmxm2lTYvQ",2026-09-24,video (auto-captions)
2025-11-04,Mercado Pago,On demand,0,0.13,25000,,Most users; some got 15% in Apartados,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en NOVIEMBRE 2025?, 2025-11-04, https://www.youtube.com/watch?v=FYmxm2lTYvQ",2026-09-24,video (auto-captions)
2025-11-04,Openbank,Apartados Open,0,0.1,,,Guaranteed for November,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en NOVIEMBRE 2025?, 2025-11-04, https://www.youtube.com/watch?v=FYmxm2lTYvQ",2026-09-24,video (auto-captions)
2025-11-04,Mifel,Cuenta Digital,0,0.1,,,Valid until 2026-04-30,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en NOVIEMBRE 2025?, 2025-11-04, https://www.youtube.com/watch?v=FYmxm2lTYvQ",2026-09-24,video (auto-captions)
2025-12-03,DiDi,On demand,0,0.16,10000,,,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en DICIEMBRE 2025?, 2025-12-03, https://www.youtube.com/watch?v=-rDq0PLHGs4",2026-09-24,video (auto-captions)
2025-12-03,Nu,Cajita Turbo,0,0.15,25000,,,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en DICIEMBRE 2025?, 2025-12-03, https://www.youtube.com/watch?v=-rDq0PLHGs4",2026-09-24,video (auto-captions)
2025-12-03,Klar,Inversión Max (Plus/Platino),0,0.15,25000,,"Spend 3,000 monthly or Platino card","Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en DICIEMBRE 2025?, 2025-12-03, https://www.youtube.com/watch?v=-rDq0PLHGs4",2026-09-24,video (auto-captions)
2025-12-03,Openbank,Apartados Open,0,0.1,,,No cap,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en DICIEMBRE 2025?, 2025-12-03, https://www.youtube.com/watch?v=-rDq0PLHGs4",2026-09-24,video (auto-captions)
2026-01-07,Mercado Pago,On demand,0,0.13,25000,,"Deposit 3,000 monthly","Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en ENERO 2026?, 2026-01-07, https://www.youtube.com/watch?v=zOLucpISr7c",2026-09-24,video (auto-captions)
2026-01-07,Mifel,Cuenta Digital,0,0.1,,,,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en ENERO 2026?, 2026-01-07, https://www.youtube.com/watch?v=zOLucpISr7c",2026-09-24,video (auto-captions)
2026-02-04,Openbank,Apartados Open,0,0.09,,,,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en FEBRERO 2026?, 2026-02-04, https://www.youtube.com/watch?v=tqd4ME8JhSM",2026-09-24,video (auto-captions)
2026-02-04,Revolut,Savings (on demand),0,0.15,25000,,Launch; no condition,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en FEBRERO 2026?, 2026-02-04, https://www.youtube.com/watch?v=tqd4ME8JhSM",2026-09-24,video (auto-captions)
2026-02-04,Klar,Inversión Max (Plus/Platino),0,0.15,25000,,"Spend 3,000 monthly","Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en FEBRERO 2026?, 2026-02-04, https://www.youtube.com/watch?v=tqd4ME8JhSM",2026-09-24,video (auto-captions)
2026-03-04,Mifel,Cuenta Digital,0,0.1,500000,,No conditions,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en MARZO 2026?, 2026-03-04, https://www.youtube.com/watch?v=ojcXlOxs5wI",2026-09-24,video (auto-captions)
2026-03-04,Openbank,Apartados Open,0,0.09,,,,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en MARZO 2026?, 2026-03-04, https://www.youtube.com/watch?v=ojcXlOxs5wI",2026-09-24,video (auto-captions)
2026-03-04,Klar,Fixed term 365d,365,0.1,,,,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en MARZO 2026?, 2026-03-04, https://www.youtube.com/watch?v=ojcXlOxs5wI",2026-09-24,video (auto-captions)
2026-04-04,Banco Plata,Ahorro Flexible (Plata+),0,0.12,,,Launch,"Germán Mi Amigo Dinero, DÓNDE invertir en abril 2026, 2026-04-04, https://www.youtube.com/watch?v=lSHPp29G8jo",2026-09-24,video (auto-captions)
2026-04-04,Banco Plata,Fixed term 30d (Plata+),30,0.09,,,7% without membership,"Germán Mi Amigo Dinero, DÓNDE invertir en abril 2026, 2026-04-04, https://www.youtube.com/watch?v=lSHPp29G8jo",2026-09-24,video (auto-captions)
2026-05-07,Mercado Pago,On demand,0,0.1,,,"25,000 cap removed mid April","Germán Mi Amigo Dinero, Mis inversiones FAVORITAS en mayo 2026, 2026-05-07, https://www.youtube.com/watch?v=DyNDCgcdDdM",2026-09-24,video (auto-captions)
2026-05-07,Openbank,Apartados Open,0,0.13,40000,,,"Germán Mi Amigo Dinero, Mis inversiones FAVORITAS en mayo 2026, 2026-05-07, https://www.youtube.com/watch?v=DyNDCgcdDdM",2026-09-24,video (auto-captions)
2026-05-07,Banco Plata,Ahorro Flexible (Plata+),0,0.1,,,,"Germán Mi Amigo Dinero, Mis inversiones FAVORITAS en mayo 2026, 2026-05-07, https://www.youtube.com/watch?v=DyNDCgcdDdM",2026-09-24,video (auto-captions)
2026-05-07,Klar,Fixed term 7d,7,0.081,,,,"Germán Mi Amigo Dinero, Mis inversiones FAVORITAS en mayo 2026, 2026-05-07, https://www.youtube.com/watch?v=DyNDCgcdDdM",2026-09-24,video (auto-captions)
2026-06-04,Nu,Cajita Turbo,0,0.13,25000,,,"Germán Mi Amigo Dinero, Las Tasas Cambiaron... Junio, 2026-06-04, https://www.youtube.com/watch?v=4-ZB5rI_WnA",2026-09-24,video (auto-captions)
2026-06-04,Klar,Inversión Max (Plus/Platino),0,0.15,25000,,"Spend requirement cut to 2,500","Germán Mi Amigo Dinero, Las Tasas Cambiaron... Junio, 2026-06-04, https://www.youtube.com/watch?v=4-ZB5rI_WnA",2026-09-24,video (auto-captions)
2026-07-05,Kubo Financiero,Fixed term 365d,365,0.12,,,"No cap, no conditions","Germán Mi Amigo Dinero, Las Tasas Cambiaron... Julio, 2026-07-05, https://www.youtube.com/watch?v=YcVJv9_32r4",2026-09-24,video (auto-captions)
2026-08-07,Openbank,Apartados Open,0,0.13,30000,,"Cap cut from 40,000","Germán Mi Amigo Dinero, Las Tasas Cambiaron... Agosto 2026, 2026-08-07, https://www.youtube.com/watch?v=xoA6vk1q0Mo",2026-09-24,video (auto-captions)
2026-08-07,Banco Plata,Ahorro Ultra (new accounts),0,0.15,25000,,,"Germán Mi Amigo Dinero, Las Tasas Cambiaron... Agosto 2026, 2026-08-07, https://www.youtube.com/watch?v=xoA6vk1q0Mo",2026-09-24,video (auto-captions)
2026-08-07,Banco Plata,Ahorro Flexible (Plata+),0,0.09,,,Was 10% with no cap,"Germán Mi Amigo Dinero, Las Tasas Cambiaron... Agosto 2026, 2026-08-07, https://www.youtube.com/watch?v=xoA6vk1q0Mo",2026-09-24,video (auto-captions)
2026-09-05,Mercado Pago,Apartados with Meli+,0,0.15,25000,0.0,Cap shared with the 12% option; nothing above it,"Germán Mi Amigo Dinero, Las Tasas Cambiaron... SEPTIEMBRE 2026, 2026-09-05, https://www.youtube.com/watch?v=2cCeCmegbkI",2026-09-24,video (auto-captions)
2026-09-05,Mercado Pago,On demand (no Meli+),0,0.12,25000,0.0,"Deposit 3,000 or spend 1,000-3,000 monthly","Germán Mi Amigo Dinero, Las Tasas Cambiaron... SEPTIEMBRE 2026, 2026-09-05, https://www.youtube.com/watch?v=2cCeCmegbkI",2026-09-24,video (auto-captions)
2026-09-05,Kubo Financiero,1-day term,1,0.1,,,Cut from 13%,"Germán Mi Amigo Dinero, Las Tasas Cambiaron... SEPTIEMBRE 2026, 2026-09-05, https://www.youtube.com/watch?v=2cCeCmegbkI",2026-09-24,video (auto-captions)
2026-09-05,Finsus,Cosecha 4 months,120,0.11,,,No membership,"Germán Mi Amigo Dinero, Las Tasas Cambiaron... SEPTIEMBRE 2026, 2026-09-05, https://www.youtube.com/watch?v=2cCeCmegbkI",2026-09-24,video (auto-captions)
2026-09-05,DiDi,On demand,0,0.15,10000,,Only 15% with no condition or time limit,"Germán Mi Amigo Dinero, Las Tasas Cambiaron... SEPTIEMBRE 2026, 2026-09-05, https://www.youtube.com/watch?v=2cCeCmegbkI",2026-09-24,video (auto-captions)
2023-03-02,Finsus,Headline rate (video),,0.13,,,"Fixed terms, 11-13% by term; term not stated in video","Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en cada plazo? (Marzo 2023), 2023-03-02, https://www.youtube.com/watch?v=gmy1pM3RSQY",2026-09-24,video (auto-captions)
2023-04-02,Finsus,Headline rate (video),,0.11,,,"Fixed terms, 10-11%; term not stated in video","Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en ABRIL 2023? CETES, SOFIPOS, Hey Banco, mercado pago, etc., 2023-04-02, https://www.youtube.com/watch?v=qABJs5rFw7A",2026-09-24,video (auto-captions)
2023-06-02,Finsus,Headline rate (video),,0.14,,,term not stated in video,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en JUNIO 2023? CETES, SOFIPOS, Hey Banco, KLAR, etc., 2023-06-02, https://www.youtube.com/watch?v=mx8pE7Ohydk",2026-09-24,video (auto-captions)
2023-08-03,Finsus,Headline rate (video),,0.1455,,,Fixed term; term not stated in video,"Germán Mi Amigo Dinero, CETES detienen su caída! - ¿Quién PAGA MÁS en Agosto 2023?, 2023-08-03, https://www.youtube.com/watch?v=0UVRneDYElU",2026-09-24,video (auto-captions)
2023-11-03,Finsus,Headline rate (video),,0.15,,,Fixed term; term not stated in video,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en noviembre 2023? - Opciones con 15% de rendimiento, 200% más ISR, 2023-11-03, https://www.youtube.com/watch?v=_JHrncIaD2k",2026-09-24,video (auto-captions)
2023-11-03,Stori,On demand,0,0.15,,,"No cap, no conditions; start of the 15% rate war","Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en noviembre 2023? - Opciones con 15% de rendimiento, 200% más ISR, 2023-11-03, https://www.youtube.com/watch?v=_JHrncIaD2k",2026-09-24,video (auto-captions)
2024-01-03,Nu,Headline rate (video),,0.15,,,term not stated in video; Nu was a SOFIPO at this date,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en ENERO 2024? - CETES y FINAMEX bajan, 2024-01-03, https://www.youtube.com/watch?v=JWT4v1Y1v9A",2026-09-24,video (auto-captions)
2024-02-02,Klar,On demand,0,0.15,,,Klar rises a lot this month,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en FEBRERO 2024? - Cajitas en NU, KLAR sube mucho, DINN baja tasa, 2024-02-02, https://www.youtube.com/watch?v=4t6Kf4HouwU",2026-09-24,video (auto-captions)
2024-02-02,Supertasas,Headline rate (video),,0.09,,,Mostly fixed terms; term not stated in video,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en FEBRERO 2024? - Cajitas en NU, KLAR sube mucho, DINN baja tasa, 2024-02-02, https://www.youtube.com/watch?v=4t6Kf4HouwU",2026-09-24,video (auto-captions)
2024-03-02,Nu,Cajita (on demand),0,0.15,,,Cajitas launched Feb 2024; Nu was a SOFIPO at this date,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en MARZO 2024? - CETES bajan, Finsus sube a 16%, ¿Banxico bajará?, 2024-03-02, https://www.youtube.com/watch?v=eFXqSq8hqS8",2026-09-24,video (auto-captions)
2024-03-02,Stori,On demand,0,0.15,,,,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en MARZO 2024? - CETES bajan, Finsus sube a 16%, ¿Banxico bajará?, 2024-03-02, https://www.youtube.com/watch?v=eFXqSq8hqS8",2026-09-24,video (auto-captions)
2024-03-02,Finsus,Headline rate (video),,0.16,,,Long fixed terms; term not stated in video,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en MARZO 2024? - CETES bajan, Finsus sube a 16%, ¿Banxico bajará?, 2024-03-02, https://www.youtube.com/watch?v=eFXqSq8hqS8",2026-09-24,video (auto-captions)
2024-04-02,Nu,Cajita (on demand),0,0.15,,,Nu was a SOFIPO at this date,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en ABRIL 2024? - CAÍDAS por todos lados, 2024-04-02, https://www.youtube.com/watch?v=axxIJ237U9s",2026-09-24,video (auto-captions)
2024-04-02,Finsus,Headline rate (video),,0.15,,,Fixed term; term not stated in video,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en ABRIL 2024? - CAÍDAS por todos lados, 2024-04-02, https://www.youtube.com/watch?v=axxIJ237U9s",2026-09-24,video (auto-captions)
2024-05-02,Klar,On demand,0,0.15,,,,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en MAYO 2024? - SIGUEN LAS CAÍDAS, 2024-05-02, https://www.youtube.com/watch?v=D92SpdExA9k",2026-09-24,video (auto-captions)
2024-08-03,Nu,Headline rate (video),,0.15,,,term not stated in video; Nu was a SOFIPO at this date,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en AGOSTO 2024? - Los CETES quedan a deber, 2024-08-03, https://www.youtube.com/watch?v=pNDU4jQxVac",2026-09-24,video (auto-captions)
2024-08-03,Klar,On demand,0,0.1,,,,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en AGOSTO 2024? - Los CETES quedan a deber, 2024-08-03, https://www.youtube.com/watch?v=pNDU4jQxVac",2026-09-24,video (auto-captions)
2024-10-03,Stori,Headline rate (video),,0.15,,,Stori adds fixed terms this month; term not stated in video,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en OCTUBRE 2024? - NU baja tasas, meli dólar llega, stori tiene plazos, 2024-10-03, https://www.youtube.com/watch?v=Ju5oYtKpAKo",2026-09-24,video (auto-captions)
2025-01-04,Klar,On demand,0,0.1,,,Depends on account level,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en ENERO 2025? - CETES recupera el 10%, NU baja tasas, KLAR cambia mucho, 2025-01-04, https://www.youtube.com/watch?v=3nRL92xKGy0",2026-09-24,video (auto-captions)
2025-02-04,Stori,Headline rate (video),,0.15,,,Fixed term; term not stated in video,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en FEBRERO 2025? - NU domina, ARANCELES, y constancias de impuestos, 2025-02-04, https://www.youtube.com/watch?v=Om-l5Akl7to",2026-09-24,video (auto-captions)
2025-04-03,Nu,Headline rate (video),,0.14,,,term not stated in video; Nu was a SOFIPO at this date,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en ABRIL 2025? - CETES CAEN, Now Bank es nueva opción, NU cambia de tasa pronto, 2025-04-03, https://www.youtube.com/watch?v=l7D2bz8tBtg",2026-09-24,video (auto-captions)
2025-05-03,Nu,Headline rate (video),,0.15,,,9-15% depending on product and cap; term not stated in video; Nu was a SOFIPO at this date,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en MAYO 2025? - SOFIPO quiebra, mercado pago baja, NU será banco, 2025-05-03, https://www.youtube.com/watch?v=AH2vQLe0dQQ",2026-09-24,video (auto-captions)
2025-06-05,DiDi,On demand,0,0.15,,,Announced: DiDi to pay 15%,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en JUNIO 2025? - DIDI dará 15%, Novedades en NU, KLAR baja tasas, 2025-06-05, https://www.youtube.com/watch?v=w1QWl47g0uc",2026-09-24,video (auto-captions)
2025-07-03,Nu,Headline rate (video),,0.14,,,"12-14%, capped; term not stated in video; Nu was a SOFIPO at this date","Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en JULIO 2025? - Cashback en NU+, 16% en ualá, didi al 15%, 2025-07-03, https://www.youtube.com/watch?v=3qbfW5NrZog",2026-09-24,video (auto-captions)
2025-07-03,Finsus,Headline rate (video),,0.14,,,Fixed term; term not stated in video,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en JULIO 2025? - Cashback en NU+, 16% en ualá, didi al 15%, 2025-07-03, https://www.youtube.com/watch?v=3qbfW5NrZog",2026-09-24,video (auto-captions)
2025-07-03,Stori,Headline rate (video),,0.08,,,term not stated in video,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en JULIO 2025? - Cashback en NU+, 16% en ualá, didi al 15%, 2025-07-03, https://www.youtube.com/watch?v=3qbfW5NrZog",2026-09-24,video (auto-captions)
2025-08-05,Nu,Headline rate (video),,0.08,,,Sharp drop; term not stated in video; Nu was a SOFIPO at this date,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en AGOSTO 2025? - DESPLOME en NU, Stori, KLAR, los CETES se recuperan, 2025-08-05, https://www.youtube.com/watch?v=w8--F9sqbVw",2026-09-24,video (auto-captions)
2025-08-05,Klar,On demand,0,0.06,,,Sharp drop; base level,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en AGOSTO 2025? - DESPLOME en NU, Stori, KLAR, los CETES se recuperan, 2025-08-05, https://www.youtube.com/watch?v=w8--F9sqbVw",2026-09-24,video (auto-captions)
2025-10-04,Kubo Financiero,Headline rate (video),,0.14,,,term not stated in video,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en OCTUBRE 2025?, 2025-10-04, https://www.youtube.com/watch?v=7jNCqK43Fkc",2026-09-24,video (auto-captions)
2025-10-04,Stori,Headline rate (video),,0.125,,,5-12.5% across products; term not stated in video,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en OCTUBRE 2025?, 2025-10-04, https://www.youtube.com/watch?v=7jNCqK43Fkc",2026-09-24,video (auto-captions)
2025-11-04,Finsus,Headline rate (video),,0.09,,,8-9%; term not stated in video,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en NOVIEMBRE 2025?, 2025-11-04, https://www.youtube.com/watch?v=FYmxm2lTYvQ",2026-09-24,video (auto-captions)
2025-11-04,Kubo Financiero,Headline rate (video),,0.085,,,term not stated in video,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en NOVIEMBRE 2025?, 2025-11-04, https://www.youtube.com/watch?v=FYmxm2lTYvQ",2026-09-24,video (auto-captions)
2025-12-03,Stori,Headline rate (video),,0.15,,,Stori rises a lot; term not stated in video,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en DICIEMBRE 2025?, 2025-12-03, https://www.youtube.com/watch?v=-rDq0PLHGs4",2026-09-24,video (auto-captions)
2025-12-03,Finsus,Headline rate (video),,0.135,,,term not stated in video,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en DICIEMBRE 2025?, 2025-12-03, https://www.youtube.com/watch?v=-rDq0PLHGs4",2026-09-24,video (auto-captions)
2026-01-07,Nu,Cajita (on demand),0,0.07,,,Nu cuts; Nu was a SOFIPO at this date,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en ENERO 2026?, 2026-01-07, https://www.youtube.com/watch?v=zOLucpISr7c",2026-09-24,video (auto-captions)
2026-01-07,Finsus,Headline rate (video),,0.07,,,term not stated in video,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en ENERO 2026?, 2026-01-07, https://www.youtube.com/watch?v=zOLucpISr7c",2026-09-24,video (auto-captions)
2026-02-04,Kubo Financiero,Headline rate (video),,0.1325,,,term not stated in video,"Germán Mi Amigo Dinero, ¿Quién PAGA MÁS en FEBRERO 2026?, 2026-02-04, https://www.youtube.com/watch?v=tqd4ME8JhSM",2026-09-24,video (auto-captions)
